名前,エリア,カテゴリ,食事枠,営業時間,メモ,住所,緯度経度
宿泊ホテル,明洞,宿,,,会賢駅すぐ。全ての起点,"23 Toegye-ro 10-gil, Jung District, Seoul","37.55861, 126.98095"
ジェントルモンスター ロッテ百貨店本店,明洞,買い物,,10:30-20:00(平日),⚠️平日20時閉店・Day1夕方の一発目に。顔に合わせて調整してくれる,"Gentle Monster, Lotte Department Store, 81 Namdaemun-ro, Jung District, Seoul","37.56488, 126.98189"
ムシンサ スタンダード 明洞店,明洞,買い物,,11:00-22:00,ジェンモンのほぼ向かい。聖水で回りきれなかった場合の敗者復活枠,"Musinsa Standard, 90 Namdaemun-ro, Jung District, Seoul","37.56510, 126.98284"
hetras 明洞店,明洞,買い物,,11:00-22:30,液体土産はDay1にここで購入→梱包依頼→スーツケースへ,"10 Myeongdong 6-gil, Jung District, Seoul","37.56286, 126.98414"
nyu nyu 明洞店,明洞,買い物,,9:00-23:00,hetrasのすぐ隣。アクセ・靴下・キーホルダーのバラマキ土産宝庫(1-4F),"nyunyu, 22 Myeongdong 4-gil, Jung District, Seoul","37.56267, 126.98374"
オリーブヤング 明洞タウン店,明洞,買い物,,10:00-22:30,2フロア旗艦店・即時還付。最終日は機内持ち込み可の物だけ,"Olive Young Myeongdong Town, 53 Myeongdong-gil, Jung District, Seoul","37.56395, 126.98516"
MINISO 明洞店,明洞,買い物,,,江南店に行けなかった場合の保険,"MINISO, 35 Myeongdong 4-gil, Jung District, Seoul","37.56206, 126.98411"
ダイソー 明洞駅店,明洞,買い物,,10:00-22:00,12階建て。宿から一番近い買い物スポット,"Daiso, 134-1 Toegye-ro, Jung District, Seoul","37.56075, 126.98668"
MIMILINE 明洞店,明洞,買い物,,9:00-23:00,2-4F・即時還付。閉店が一番遅いので最後尾でOK,"Mimiline, 123 Toegye-ro, Jung District, Seoul","37.56115, 126.98525"
ユットンリョン 明洞本店,明洞,食事,Day1 夜,11:30-23:00,焼肉+〆冷麺。タブレット注文・スタッフが焼いてくれる。18時台早めに,"Yuktongryeong, 37-2 Myeongdong 8na-gil, Jung District, Seoul","37.56116, 126.98284"
神仙ソルロンタン 明洞店,明洞,食事,Day2 朝,8:00-21:00,2F。あっさり牛骨スープ。キムチ食べ放題・キッズメニューあり,"Sinseon Seolleongtang Myeongdong, 2-2 Myeong-dong 2-ga, Jung District, Seoul","37.56380, 126.98541"
孝潭カルグクス・タッカンマリ 明洞本店,明洞,食事,Day3 昼,10:30-22:15,B1F・評価4.9。鶏丸ごと鍋。11:45入店=昼ラッシュ前が好条件・12:40には店を出る,"Hyodam Kalguksu, 12 Myeongdong 3-gil, Jung District, Seoul","37.56423, 126.98353"
本粥&ビビンバ 会賢駅店,明洞,食事,Day3 朝,8:30-20:00(日曜休),宿の目の前・徒歩1分。ビル1F(Leaders' View Namsan内),"Bonjuk, 72 Toegye-ro, Jung District, Seoul","37.55907, 126.98062"
